ts;te;td;sa;da;sp;dp;pr;flg;ipkt;ibyt
11/01/13 07:49;01/03/13 23:52;4.294.967.267;177.21.244.27;10.1.1.10;80;58118;TCP;.A..SF;3;128
11/01/13 07:50;01/03/13 23:52;4.294.967.267;10.1.1.10;177.21.244.27;25148;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:52;4.294.967.267;177.21.244.27;10.1.1.10;80;25148;TCP;.A..SF;2;88
11/01/13 07:50;01/03/13 23:52;4.294.967.266;10.1.1.10;177.21.244.27;46921;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:52;4.294.967.266;177.21.244.27;10.1.1.10;80;46921;TCP;.A..SF;2;88
11/01/13 07:50;01/03/13 23:52;4.294.949.584;10.1.1.15;187.59.48.42;8080;56932;TCP;.AP.SF;19;19943
11/01/13 07:50;01/03/13 23:52;4.294.949.584;187.59.48.42;10.1.1.15;56932;8080;TCP;.AP.SF;15;1889
11/01/13 07:50;01/03/13 23:52;4.294.948.541;10.1.1.15;187.59.48.42;8080;56934;TCP;.A..SF;3;172
11/01/13 07:50;01/03/13 23:52;4.294.948.541;187.59.48.42;10.1.1.15;56934;8080;TCP;.A..SF;5;280
11/01/13 07:50;01/03/13 23:52;4.294.967.265;10.1.1.10;177.21.244.27;12720;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:52;4.294.967.265;177.21.244.27;10.1.1.10;80;12720;TCP;.A..SF;3;128
11/01/13 07:50;01/03/13 23:52;4.294.966.649;10.1.1.15;83.40.114.1;8080;63941;TCP;.AP.SF;5;795
11/01/13 07:50;01/03/13 23:52;4.294.966.649;83.40.114.1;10.1.1.15;63941;8080;TCP;.AP.SF;5;740
11/01/13 07:50;01/03/13 23:52;4.294.967.140;10.1.1.10;177.21.244.27;14567;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:52;4.294.967.140;177.21.244.27;10.1.1.10;80;14567;TCP;.A..SF;2;88
11/01/13 07:50;01/03/13 23:52;4.294.967.267;10.1.1.10;177.21.244.27;1596;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:52;4.294.967.267;177.21.244.27;10.1.1.10;80;1596;TCP;.A..SF;2;88
11/01/13 07:53;01/03/13 23:55;4.294.959.174;10.1.1.15;197.241.135.153;8080;54410;TCP;.AP.SF;5;715
11/01/13 07:53;01/03/13 23:55;4.294.959.174;197.241.135.153;10.1.1.15;54410;8080;TCP;.APRSF;6;527
11/01/13 07:50;01/03/13 23:52;4.294.967.268;10.1.1.10;177.21.244.27;45052;80;TCP;.A..SF;4;186
11/01/13 07:50;01/03/13 23:52;4.294.967.268;177.21.244.27;10.1.1.10;80;45052;TCP;.A..SF;3;128
